window_start_date,window_end_date,window_observations,rolling_R_OS_squared
1954-07-01,2004-06-01,600,9.052960841953173e-4
1954-08-01,2004-07-01,600,-6.569024455929107e-4
1954-09-01,2004-08-01,600,-0.0024565391738795572
1954-10-01,2004-09-01,600,-0.004957738505349862
1954-11-01,2004-10-01,600,-0.0060879976909917755
1954-12-01,2004-11-01,600,-0.00770072566528035
1955-01-01,2004-12-01,600,-0.009615904866443259
1955-02-01,2005-01-01,600,-0.010071965808484462
1955-03-01,2005-02-01,600,-0.010419727853034466
1955-04-01,2005-03-01,600,-0.010287309200958994
1955-05-01,2005-04-01,600,-0.009543813056823058
1955-06-01,2005-05-01,600,-0.008923622880107951
1955-07-01,2005-06-01,600,-0.007795982048897976
1955-08-01,2005-07-01,600,-0.007209155422883917
1955-09-01,2005-08-01,600,-0.006813078622580626
1955-10-01,2005-09-01,600,-0.0059978865160534856
1955-11-01,2005-10-01,600,-0.004927069839500309
1955-12-01,2005-11-01,600,-0.0033902883264984585
1956-01-01,2005-12-01,600,-0.0014479079126163974
1956-02-01,2006-01-01,600,-3.9160665877169265e-4
1956-03-01,2006-02-01,600,0.0010371198765786183
1956-04-01,2006-03-01,600,0.0029482212951823517
1956-05-01,2006-04-01,600,0.0044865218695492315
1956-06-01,2006-05-01,600,0.005631093298307355
1956-07-01,2006-06-01,600,0.006687643684399114
1956-08-01,2006-07-01,600,0.008566514532549863
1956-09-01,2006-08-01,600,0.009596006422420866
1956-10-01,2006-09-01,600,0.00983834811757689
1956-11-01,2006-10-01,600,0.00991708234624944
1956-12-01,2006-11-01,600,0.009320962544210887
1957-01-01,2006-12-01,600,0.008783225485180401
1957-02-01,2007-01-01,600,0.00826097273341464
1957-03-01,2007-02-01,600,0.00732109232256406
1957-04-01,2007-03-01,600,0.005891014604488154
1957-05-01,2007-04-01,600,0.0046605020394442365
1957-06-01,2007-05-01,600,0.003850321199403872
1957-07-01,2007-06-01,600,0.0028284379729189846
1957-08-01,2007-07-01,600,0.0015677858688771806
1957-09-01,2007-08-01,600,2.610790983007538e-4
1957-10-01,2007-09-01,600,-0.0011086017854258223
1957-11-01,2007-10-01,600,-0.002724589360851626
1957-12-01,2007-11-01,600,-0.0037988553053118768
1958-01-01,2007-12-01,600,-0.005477633170813512
1958-02-01,2008-01-01,600,-0.005844679829067889
1958-03-01,2008-02-01,600,-0.006036628103020192
1958-04-01,2008-03-01,600,-0.006165775411950847
1958-05-01,2008-04-01,600,-0.006505431176999865
1958-06-01,2008-05-01,600,-0.006996941338896612
1958-07-01,2008-06-01,600,-0.0069283570354130575
1958-08-01,2008-07-01,600,-0.006820471870993217
1958-09-01,2008-08-01,600,-0.006068609737154063
1958-10-01,2008-09-01,600,-0.0045752840149351215
1958-11-01,2008-10-01,600,-0.0032473108609123447
1958-12-01,2008-11-01,600,-0.0023586393545378392
1959-01-01,2008-12-01,600,-0.001638609105618638
1959-02-01,2009-01-01,600,-0.0013365005912249206
1959-03-01,2009-02-01,600,-0.0015938315925316804
1959-04-01,2009-03-01,600,-0.001314782023529082
1959-05-01,2009-04-01,600,-1.595055032721504e-5
1959-06-01,2009-05-01,600,0.0019223176407561215
1959-07-01,2009-06-01,600,0.0033929453882898253
1959-08-01,2009-07-01,600,0.005094506565205825
1959-09-01,2009-08-01,600,0.006769834875755332
1959-10-01,2009-09-01,600,0.007508102277036133
1959-11-01,2009-10-01,600,0.008565183942353727
1959-12-01,2009-11-01,600,0.010510737702120077
1960-01-01,2009-12-01,600,0.01203093951912848
1960-02-01,2010-01-01,600,0.01297758266031368
1960-03-01,2010-02-01,600,0.015855987397941362
1960-04-01,2010-03-01,600,0.019141587512292002
1960-05-01,2010-04-01,600,0.020019024052574053
1960-06-01,2010-05-01,600,0.019567636172261982
1960-07-01,2010-06-01,600,0.018997697473222663
1960-08-01,2010-07-01,600,0.017509906495697725
1960-09-01,2010-08-01,600,0.016416749541861675
1960-10-01,2010-09-01,600,0.015233552733232236
1960-11-01,2010-10-01,600,0.013908911657658618
1960-12-01,2010-11-01,600,0.012702704878073123
1961-01-01,2010-12-01,600,0.011574352593484494
1961-02-01,2011-01-01,600,0.011937467145273661
1961-03-01,2011-02-01,600,0.012483877781534591
1961-04-01,2011-03-01,600,0.013177325776325688
1961-05-01,2011-04-01,600,0.013900839150830846
1961-06-01,2011-05-01,600,0.014207055752962994
1961-07-01,2011-06-01,600,0.013788198438206556
1961-08-01,2011-07-01,600,0.014655743034537538
1961-09-01,2011-08-01,600,0.015719968656613625
1961-10-01,2011-09-01,600,0.01799202174836445
1961-11-01,2011-10-01,600,0.020145555652241187
1961-12-01,2011-11-01,600,0.022592337719492317
1962-01-01,2011-12-01,600,0.025175737429885436
1962-02-01,2012-01-01,600,0.02627009216500953
1962-03-01,2012-02-01,600,0.027105703473790266
1962-04-01,2012-03-01,600,0.027261960211207303
1962-05-01,2012-04-01,600,0.02672599040530621
1962-06-01,2012-05-01,600,0.025121069934073814
1962-07-01,2012-06-01,600,0.02255454347872987
1962-08-01,2012-07-01,600,0.020025791506339652
1962-09-01,2012-08-01,600,0.016945618674511165
1962-10-01,2012-09-01,600,0.013169847717167449
1962-11-01,2012-10-01,600,0.009535489450579249
1962-12-01,2012-11-01,600,0.006495800872504565
1963-01-01,2012-12-01,600,0.0035223921251070767
1963-02-01,2013-01-01,600,0.0016398617943298444
1963-03-01,2013-02-01,600,-5.663026380309244e-4
1963-04-01,2013-03-01,600,-0.0024428126801769867
1963-05-01,2013-04-01,600,-0.003032623798168599
1963-06-01,2013-05-01,600,-0.002889450095208357
1963-07-01,2013-06-01,600,-0.0022196114219448226
1963-08-01,2013-07-01,600,-0.002272679373540587
1963-09-01,2013-08-01,600,-0.0015840235607338382
1963-10-01,2013-09-01,600,-8.957693516187248e-4
1963-11-01,2013-10-01,600,-3.4140664528536924e-4
1963-12-01,2013-11-01,600,-8.179993170034372e-4
1964-01-01,2013-12-01,600,-0.0010782181846809014
1964-02-01,2014-01-01,600,-0.0010961728024101447
1964-03-01,2014-02-01,600,-0.0010056127698612194
1964-04-01,2014-03-01,600,-8.320512457720142e-4
1964-05-01,2014-04-01,600,-0.0010135713070120733
1964-06-01,2014-05-01,600,-0.001255849715409596
1964-07-01,2014-06-01,600,-0.0012556382993855753
1964-08-01,2014-07-01,600,-5.43963919530821e-4
1964-09-01,2014-08-01,600,-0.0010598722534158611
1964-10-01,2014-09-01,600,-7.223967960174882e-4
1964-11-01,2014-10-01,600,-4.4526751015294685e-4
1964-12-01,2014-11-01,600,-1.357918735125363e-4
1965-01-01,2014-12-01,600,1.391066941122121e-4
1965-02-01,2015-01-01,600,6.30855391431151e-4
1965-03-01,2015-02-01,600,8.774700008017389e-4
1965-04-01,2015-03-01,600,8.972650689056394e-4
1965-05-01,2015-04-01,600,0.0012238816744352121
1965-06-01,2015-05-01,600,0.001334610592341745
1965-07-01,2015-06-01,600,8.780173782738654e-4
1965-08-01,2015-07-01,600,1.1644995589388252e-4
1965-09-01,2015-08-01,600,5.901797317582336e-4
1965-10-01,2015-09-01,600,0.001181116506033808
1965-11-01,2015-10-01,600,0.0016759059105874163
1965-12-01,2015-11-01,600,0.0023036735344925674
1966-01-01,2015-12-01,600,0.0031897186299163494
1966-02-01,2016-01-01,600,0.003930705281207647
1966-03-01,2016-02-01,600,0.0048855160881403625
1966-04-01,2016-03-01,600,0.005150149613984745
1966-05-01,2016-04-01,600,0.005287026878241674
1966-06-01,2016-05-01,600,0.004831095619108328
1966-07-01,2016-06-01,600,0.004737507426717968
1966-08-01,2016-07-01,600,0.004183097920005707
1966-09-01,2016-08-01,600,0.0022002505728956345
1966-10-01,2016-09-01,600,-3.647415045726632e-4
1966-11-01,2016-10-01,600,-0.002406584842516546
1966-12-01,2016-11-01,600,-0.004478468097392163
1967-01-01,2016-12-01,600,-0.006858982228254318
1967-02-01,2017-01-01,600,-0.008870200799453443
