YEAR,MONTH,dp,dg,rf,re
1940,1,-3.067642757,0.197782059,0.007368459,0.068175319
1940,2,-3.05698275,0.189795265,-0.007068514,0.033145225
1940,3,-3.071826741,0.198104274,-0.006968509,0.18102925
1940,4,-3.062286304,0.199857349,-0.014188757,0.178011457
1940,5,-2.768745151,0.22243873,-0.014488772,-0.123793113
1940,6,-2.82302879,0.2149912,-0.021706235,-0.015420701
1940,7,-2.848680394,0.224801279,-0.014488772,-0.07567305
1940,8,-2.837760166,0.220446528,-0.014488772,0.014074258
1940,9,-2.851619206,0.238531539,0.006917438,-0.098515283
1940,10,-2.871571763,0.242919697,-0.00020003,-0.072489226
1940,11,-2.841412531,0.160087282,-0.00020003,-0.051439186
1940,12,-2.839550513,0.117589527,-0.007317498,-0.082401742
1941,1,-2.794168213,0.108526387,-0.014585992,-0.105580108
1941,2,-2.767924576,0.101153647,-0.007517508,-0.127004941
1941,3,-2.757977607,0.105469411,-0.01448468,-0.146889688
1941,4,-2.705899754,0.082532131,-0.021602258,-0.20918136
1941,5,-2.704755094,0.044559668,-0.028370907,0.045314395
1941,6,-2.737734256,0.043364838,-0.041872726,0.020779164
1941,7,-2.78698015,0.03838419,-0.048790234,0.036467722
1941,8,-2.773282322,0.004019354,-0.062103953,0.000125346
1941,9,-2.755646202,-0.010523574,-0.075337489,-0.044867352
1941,10,-2.692405551,-0.02486134,-0.088495574,-0.138504037
1941,11,-2.643913823,-0.018655267,-0.095010255,-0.147484137
1941,12,-2.566112201,-0.001687421,-0.094265307,-0.201100775
1942,1,-2.574192045,-0.017326263,-0.10678601,-0.163851825
1942,2,-2.551736122,-0.03800829,-0.112935238,-0.179139158
1942,3,-2.47496655,-0.054681403,-0.118446853,-0.256881611
1942,4,-2.426075513,-0.046126192,-0.11745983,-0.241257314
1942,5,-2.500128772,-0.082028759,-0.122537041,-0.207775116
1942,6,-2.52615168,-0.085191746,-0.101717774,-0.219844611
1942,7,-2.561288543,-0.100058255,-0.107834001,-0.251379959
1942,8,-2.598974601,-0.123762137,-0.100199368,-0.226354239
1942,9,-2.622357696,-0.117442398,-0.086665877,-0.180616005
1942,10,-2.697137133,-0.133636167,-0.085256176,-0.063680497
1942,11,-2.730307345,-0.191084474,-0.084411707,-0.041529082
1942,12,-2.79219446,-0.228084557,-0.083673968,0.057479624
1943,1,-2.862232418,-0.215759452,-0.070753304,0.127849068
1943,2,-2.922981854,-0.206299897,-0.064204117,0.217322992
1943,3,-2.979859051,-0.215989761,-0.069021136,0.338454512
1943,4,-2.989506127,-0.225842532,-0.074151449,0.386675611
1943,5,-3.036684957,-0.191957597,-0.067536288,0.391476189
1943,6,-3.046496114,-0.181951341,-0.067436313,0.384823481
1943,7,-2.999388587,-0.170304405,-0.055589411,0.316411996
1943,8,-3.008748796,-0.133213697,-0.04374666,0.324734655
1943,9,-3.014738111,-0.122613381,-0.049510365,0.317660303
1943,10,-3.008311423,-0.106094883,-0.037462027,0.253274138
1943,11,-2.926945581,-0.046777145,-0.03149186,0.202036362
1943,12,-2.983281845,-0.021955407,-0.025557124,0.218518548
1944,1,-2.996270139,-0.016506697,-0.025557124,0.166295582
1944,2,-2.985488851,-0.001005297,-0.025557124,0.110782032
1944,3,-3.002367413,0.022642809,-0.008061337,0.093626373
1944,4,-2.985597792,0.029882399,-0.00223119,0.075249158
1944,5,-3.01444681,0.046919819,0.003499485,0.072588564
1944,6,-3.055928244,0.044952156,-0.002198536,0.100388668
1944,7,-3.040211416,0.036181733,-0.013594948,0.123720937
1944,8,-3.03028437,0.051720989,-0.019358653,0.120428181
1944,9,-3.039444198,0.031647743,-0.013694923,0.103105235
1944,10,-3.034304849,0.043307847,-0.013694923,0.116287996
1944,11,-3.017081601,0.057082169,-0.013694923,0.195001987
1944,12,-3.061032405,0.04307356,-0.019428716,0.166599567
1945,1,-3.078823365,0.041085688,-0.019428716,0.168625057
1945,2,-3.132490629,0.034049082,-0.019528691,0.223735805
1945,3,-3.086839645,0.03303335,-0.019528691,0.162140443
1945,4,-3.159070615,0.04199046,-0.013798016,0.257051565
1945,5,-3.146278081,0.045832537,-0.019400272,0.219776408
1945,6,-3.164808315,0.015221239,-0.024913451,0.165456507
1945,7,-3.141406783,0.021827307,-0.019247714,0.165336628
1945,8,-3.196070436,0.00265733,-0.019247714,0.208550925
1945,9,-3.237468335,0.01768612,-0.019147739,0.254222229
1945,10,-3.273110813,0.013787469,-0.019147739,0.289781679
1945,11,-3.315491719,-0.008117332,-0.019247714,0.325965083
1945,12,-3.335815533,-0.010124967,-0.019023577,0.299625179
1946,1,-3.389073059,-0.004829554,-0.019023577,0.338603374
1946,2,-3.320261664,0.003391026,-0.013413946,0.226667586
1946,3,-3.371886801,-0.007046993,-0.024303092,0.311749022
1946,4,-3.406160744,-0.008077323,-0.029752697,0.271642904
1946,5,-3.44896446,-0.040382412,-0.029570509,0.293588006
1946,6,-3.40091798,-0.016296398,-0.0291121,0.252612105
1946,7,-3.359602903,-0.061040895,-0.086270514,0.191314163
1946,8,-3.280737796,-0.074048729,-0.106271181,0.047529472
1946,9,-3.158236908,-0.074305854,-0.116123477,-0.111915023
1946,10,-3.129136777,-0.082310895,-0.135541563,-0.183459616
1946,11,-3.133538372,-0.121180408,-0.159195674,-0.26049257
1946,12,-3.121361141,-0.058763954,-0.163031881,-0.230065848
1947,1,-3.126928844,-0.059628036,-0.163031881,-0.278854278
1947,2,-3.083282337,-0.042803828,-0.168541537,-0.234992741
1947,3,-3.055947566,-0.046129233,-0.175986117,-0.316064954
1947,4,-2.996089563,-0.037887743,-0.170536512,-0.39918577
1947,5,-2.954138021,0.001085965,-0.165116445,-0.442929904
1947,6,-2.987222856,0.01581928,-0.158919469,-0.348678824
1947,7,-3.021063885,0.056001834,-0.110810891,-0.234938847
1947,8,-2.983221404,0.069246747,-0.104233245,-0.178880163
1947,9,-2.956217213,0.062802234,-0.11605999,-0.088509795
1947,10,-2.975349417,0.073052919,-0.096342039,-0.030964186
1947,11,-2.895222834,0.154889418,-0.07662649,-0.029613633
1947,12,-2.906366806,0.108835705,-0.079684307,-0.052926906
1948,1,-2.861623235,0.094088392,-0.092023532,-0.115616134
1948,2,-2.804799571,0.081314038,-0.083149105,-0.138410413
1948,3,-2.856327652,0.118866042,-0.059851365,-0.024865666
1948,4,-2.885084891,0.098548496,-0.076301198,0.04189
1948,5,-2.956506096,0.063033003,-0.079994351,0.116094463
1948,6,-2.929588615,0.066707616,-0.083172276,0.061114448
1948,7,-2.88351365,0.051662872,-0.085994007,-0.031458014
1948,8,-2.857133027,0.068977667,-0.076061331,-0.001266263
1948,9,-2.808717838,0.086556953,-0.054282325,-0.002407291
1948,10,-2.848879705,0.102023926,-0.05039224,0.031848684
1948,11,-2.721160533,0.082586423,-0.038023239,-0.027751736
1948,12,-2.734232889,0.098844397,-0.021378802,-0.010367486
1949,1,-2.733911102,0.11377646,-0.00418202,0.049005988
1949,2,-2.677636424,0.127062372,-0.004088558,0.066365948
1949,3,-2.704455473,0.108930503,-0.008253051,0.021821894
1949,4,-2.678140905,0.121732216,0.004603544,-0.01877748
1949,5,-2.633639351,0.144121776,0.01318912,-0.109389985
1949,6,-2.623854858,0.131669803,0.017429529,-0.104050362
1949,7,-2.679373293,0.156884713,0.038304147,0.019099479
1949,8,-2.685705851,0.146144063,0.038183599,0.040666652
1949,9,-2.724034375,0.117071178,0.034490396,0.095934676
1949,10,-2.770757652,0.089336372,0.039303497,0.071946743
1949,11,-2.723973052,0.109835602,0.027262225,0.176198857
1949,12,-2.771474046,0.09917862,0.032059977,0.197110002
